"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2026.01.02	11:55:00	5790.490	5793.990	5787.490	5790.990	6387	27359	1"
"2026.01.02	12:00:00	5790.990	5795.990	5789.490	5794.490	5266	19582	1"
"2026.01.02	12:05:00	5793.990	5799.490	5793.490	5796.990	7635	30997	1"
"2026.01.02	12:10:00	5796.990	5800.990	5794.490	5798.990	6377	25348	1"
"2026.01.02	12:15:00	5799.490	5803.990	5796.490	5801.990	8006	33129	1"
"2026.01.02	12:20:00	5802.490	5807.490	5800.490	5801.990	9317	32056	1"
"2026.01.02	12:25:00	5801.990	5802.990	5798.990	5802.990	4590	13121	1"
"2026.01.02	12:30:00	5802.990	5804.490	5800.990	5801.990	3638	12103	1"
"2026.01.02	12:35:00	5801.990	5802.490	5797.990	5800.990	5252	18865	1"
"2026.01.02	12:40:00	5800.490	5800.990	5796.990	5799.490	3846	12475	1"
"2026.01.02	12:45:00	5799.490	5802.490	5796.490	5796.990	4746	16822	1"
"2026.01.02	12:50:00	5796.990	5798.990	5793.490	5793.990	5089	18194	1"
"2026.01.02	12:55:00	5793.990	5794.490	5789.490	5790.990	8691	34377	1"
"2026.01.02	13:00:00	5790.990	5795.490	5789.990	5794.990	9601	39156	1"
"2026.01.02	13:05:00	5794.990	5795.990	5791.990	5791.990	3346	9494	1"
"2026.01.02	13:10:00	5792.490	5794.490	5790.990	5791.490	3726	15664	1"
"2026.01.02	13:15:00	5790.990	5791.490	5784.490	5786.990	7351	28555	1"
"2026.01.02	13:20:00	5786.990	5787.490	5783.990	5785.490	4104	13892	1"
"2026.01.02	13:25:00	5785.490	5787.490	5784.990	5785.990	2951	14009	1"
"2026.01.02	13:30:00	5786.490	5786.490	5781.990	5783.490	3468	13263	1"
"2026.01.02	13:35:00	5783.490	5785.990	5781.490	5782.990	3314	13558	1"
"2026.01.02	13:40:00	5782.490	5784.990	5781.990	5784.990	1814	8795	1"
"2026.01.02	13:45:00	5784.490	5785.990	5782.990	5783.490	2112	10721	1"
"2026.01.02	13:50:00	5783.990	5786.990	5782.990	5783.490	3334	14991	1"
"2026.01.02	13:55:00	5783.490	5783.990	5775.990	5776.990	6850	33006	1"
"2026.01.02	14:00:00	5776.490	5778.490	5772.990	5772.990	5078	19486	1"
"2026.01.02	14:05:00	5772.990	5774.990	5770.990	5774.490	5082	19734	1"
"2026.01.02	14:10:00	5774.490	5774.990	5770.490	5771.490	3718	16398	1"
"2026.01.02	14:15:00	5771.490	5772.490	5769.990	5771.990	2682	11549	1"
"2026.01.02	14:20:00	5772.490	5775.490	5771.990	5773.490	3444	14619	1"
"2026.01.02	14:25:00	5773.990	5775.990	5772.490	5772.990	2611	10651	1"
"2026.01.02	14:30:00	5772.990	5773.990	5771.490	5772.990	1979	7476	1"
"2026.01.02	14:35:00	5772.990	5777.490	5772.490	5776.990	3791	15443	1"
"2026.01.02	14:40:00	5776.490	5778.490	5775.490	5775.990	2388	8980	1"
"2026.01.02	14:45:00	5775.990	5778.490	5774.990	5777.490	2842	13694	1"
"2026.01.02	14:50:00	5777.490	5777.990	5775.990	5776.990	1520	5493	1"
"2026.01.02	14:55:00	5776.490	5776.990	5773.990	5776.490	3292	12106	1"
"2026.01.02	15:00:00	5776.490	5777.990	5774.490	5777.990	2332	9283	1"
"2026.01.02	15:05:00	5777.490	5778.490	5773.990	5774.490	2277	8919	1"
"2026.01.02	15:10:00	5773.990	5775.490	5773.490	5774.990	1838	6906	1"
"2026.01.02	15:15:00	5774.990	5775.990	5771.490	5773.990	3279	12401	1"
"2026.01.02	15:20:00	5773.990	5773.990	5769.990	5770.490	2885	12143	1"
"2026.01.02	15:25:00	5770.990	5774.490	5770.490	5773.990	2739	11708	1"
"2026.01.02	15:30:00	5773.490	5774.990	5772.490	5774.490	1721	6620	1"
"2026.01.02	15:35:00	5774.490	5776.990	5773.990	5773.990	2736	13555	1"
"2026.01.02	15:40:00	5774.490	5777.490	5773.990	5776.990	2398	12713	1"
"2026.01.02	15:45:00	5776.490	5778.490	5775.990	5777.490	2306	10550	1"
"2026.01.02	15:50:00	5777.490	5777.990	5774.990	5774.990	2528	8549	1"
"2026.01.02	15:55:00	5775.490	5779.490	5774.990	5778.990	3675	14636	1"
"2026.01.02	16:00:00	5778.990	5780.990	5778.490	5779.990	3563	17809	1"
"2026.01.02	16:05:00	5779.990	5779.990	5776.490	5777.490	2512	10226	1"
"2026.01.02	16:10:00	5777.490	5778.490	5774.990	5775.490	3297	16818	1"
"2026.01.02	16:15:00	5774.990	5775.990	5773.490	5774.990	2536	11867	1"
"2026.01.02	16:20:00	5775.490	5776.990	5773.990	5775.990	2186	9935	1"
"2026.01.02	16:25:00	5776.490	5776.490	5774.490	5775.490	1872	11417	1"
"2026.01.02	16:30:00	5775.490	5777.490	5774.490	5776.490	1569	7023	1"
"2026.01.02	16:35:00	5776.490	5776.990	5774.490	5774.990	1086	6313	1"
"2026.01.02	16:40:00	5774.990	5774.990	5771.990	5773.490	2311	8061	1"
