experiment_id,parent_id,research_branch,hypothesis_family,hypothesis,change_summary,decision,net_pnl,profit_factor,win_rate,max_drawdown_pct,trade_count,payoff,expectancy,top5_trades_share,max_month_share,months_positive,gates_pass,timestamp,hypothesis_source,assumptions_challenged,reopening_reason,degrees_of_freedom,placebo_mean_expectancy,placebo_p95_expectancy,placebo_excess,placebo_draws,cumulative_trials
EXP-0000,,baseline,V0,Baseline V0,-,BASELINE,-1097.0,0.75,57.29,16.98,96,0.559,-11.43,0.176,,0/5,False,2026-09-19T03:15:10,-,-,-,-,,,,,16
EXP-0017,RUN-0002/EXP-0011,Opening-Momentum,participation-filter,EXP-0017_orb-structural-relvolume,EXP-0017_orb-structural-relvolume,REJECT,-546.0,0.856,23.26,21.4,43,2.826,-12.7,0.79,,2/5,False,2026-09-19T03:20:41,literatura+mecanismo,trade every day,(i) new mechanism,0,-34.21,8.35,21.51,20,17
EXP-0018,RUN-0002/EXP-0011,Opening-Momentum,trend-alignment,EXP-0018_orb-structural-trend-aligned,EXP-0018_orb-structural-trend-aligned,REJECT,-1867.0,0.612,13.73,23.02,51,3.847,-36.61,0.857,,1/5,False,2026-09-19T03:20:41,mecanismo,both sides regardless of trend,(i) new mechanism,0,-41.38,-9.45,4.77,20,18
EXP-0019,RUN-0002/EXP-0011,Opening-Momentum,multi-trade,EXP-0019_orb-structural-second-entry,EXP-0019_orb-structural-second-entry,REJECT,-987.0,0.905,18.18,34.89,121,4.071,-8.16,0.495,,3/5,False,2026-09-19T03:20:41,mecanismo,1 trade/day limit,(i) new mechanism,0,-16.96,3.12,8.8,20,19
EXP-0020,RUN-0002/EXP-0011,Opening-Momentum,us-open-momentum,"ORB 5min at the 09:30 ET bar, structural stop, EOD exit",OrbNyOpen,REJECT,-1359.0,0.724,15.22,20.81,92,4.034,-14.77,0.683,,1/5,False,2026-09-19T03:26:40,literatura+mecanismo,only the B3 open matters; window 09:00-10:30,new window (family new),0,-14.59,1.59,-0.18,20,20
EXP-0021,RUN-0002/EXP-0011,Opening-Momentum,exit-structure-target,ORB structural with PDH/PDL structural target,OrbStructuralPdhTarget,REJECT,-3030.0,0.589,23.0,31.73,100,1.973,-30.3,0.487,,1/5,False,2026-09-19T03:26:40,mecanismo,no target (positive skew),(i) new mechanism (structural target),0,-30.67,-17.25,0.37,20,21
EXP-0022,RUN-0002/EXP-0011,Opening-Momentum,exit-architecture,Breakeven/conditional trailing after +1R,BLOCKED (engine capability),BLOCKED,,,,,,,,,,,,2026-09-19T03:26:40,mecanismo,unconditional exit,-,-,,,,,21
